status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,Lat,Long,formatted_address,location_type
for_sale,950000,1,1,,"301 E 79th St Apt 31C, New York City, NY, 10075",301 E 79th St Apt 31C,New York City,New York,10075,657,4/4/2008,40.7733045,-73.9543976,"301 E 79th St #31c, New York, NY 10075, USA",ROOFTOP
for_sale,3150000,2,3,,"15 Renwick St Apt 601, New York City, NY, 10013",15 Renwick St Apt 601,New York City,New York,10013,1481,3/4/2016,40.7249484,-74.0087079,"15 Renwick St APT 601, New York, NY 10013, USA",ROOFTOP
for_sale,945000,1,1,0.17,"17 W 67th St Apt 3F, New York City, NY, 10023",17 W 67th St Apt 3F,New York City,New York,10023,700,11/15/2014,40.7737734,-73.9794676,"17 W 67th St #3f, New York, NY 10023, USA",ROOFTOP
for_sale,4850000,4,4,,"400 5th Ave Unit 39FGH, New York City, NY, 10018",400 5th Ave Unit 39FGH,New York City,New York,10018,2588,,40.7500752,-73.9837835,"400 5th Ave, New York, NY 10018, USA",ROOFTOP
for_sale,4475000,3,3,0.06,"251 W 91st St Unit 10B, New York City, NY, 10024",251 W 91st St Unit 10B,New York City,New York,10024,1868,,40.7917397,-73.9744247,"251 W 91st St #10b, New York, NY 10024, USA",ROOFTOP
for_sale,753000,1,1,,"111 Montgomery St Apt 5B, New York City, NY, 11225",111 Montgomery St Apt 5B,New York City,New York,11225,718,,40.6666793,-73.9609528,"111 Montgomery St #5b, Brooklyn, NY 11225, USA",ROOFTOP
for_sale,2250000,3,3,,"137 4th Ave Unit 3, New York City, NY, 11217",137 4th Ave Unit 3,New York City,New York,11217,1764,,40.679581,-73.9812951,"137 4th Ave #3, Brooklyn, NY 11217, USA",ROOFTOP
for_sale,1595000,2,2,,"98 Front St Apt 6R, New York City, NY, 11201",98 Front St Apt 6R,New York City,New York,11201,904,,40.7024285,-73.9888337,"98 Front St #6r, Brooklyn, NY 11201, USA",ROOFTOP
for_sale,1595000,1,1,,"169 Huron St Ph A, New York City, NY, 11222",169 Huron St Ph A,New York City,New York,11222,707,,40.7332472,-73.9543487,"169 Huron St, Brooklyn, NY 11222, USA",RANGE_INTERPOLATED
for_sale,758000,2,1,,"294 Smith St Unit 1, New York City, NY, 11231",294 Smith St Unit 1,New York City,New York,11231,890,4/24/1986,40.6820161,-73.993894,"294 Smith St #1, Brooklyn, NY 11231, USA",ROOFTOP
for_sale,1995000,1,3,,"260 W Broadway Units 3 & 4F, New York City, NY, 10013",260 W Broadway Units 3 & 4F,New York City,New York,10013,1270,,40.7205254,-74.0057286,"260 W Broadway, New York, NY 10013, USA",ROOFTOP
for_sale,475000,1,1,,"120 E 83rd St Apt 2B, New York City, NY, 10028",120 E 83rd St Apt 2B,New York City,New York,10028,,1/26/2017,40.7776132,-73.9576916,"120 E 83rd St #2b, New York, NY 10028, USA",ROOFTOP
